id,date,mean,min,max,stdev,field,year,month,day,month_day
71,2018-02-12,0.15468176287568314,0.08056640625,0.5184426307678223,0.021087595861425043,G1,2018,2,12,02-12
72,2018-02-09,0.15112824742390568,0.07493288069963455,0.53582364320755,0.02190139477263713,G1,2018,2,9,02-09
73,2018-02-07,0.15312067457311068,0.07911867648363113,0.569348156452179,0.022721036680137828,G1,2018,2,7,02-07
74,2018-02-04,0.15929202492882316,0.06481481343507767,0.518205463886261,0.021834657407566706,G1,2018,2,4,02-04
75,2018-01-30,0.16399551010414454,0.08387375622987747,0.5179959535598755,0.01714487444206056,G1,2018,1,30,01-30
76,2018-01-18,0.155834063428378,0.10291777551174164,0.5110259056091309,0.016521934872160048,G1,2018,1,18,01-18
77,2018-01-15,0.15339696837022887,0.06534986197948456,0.5130784511566162,0.017185759493124814,G1,2018,1,15,01-15
78,2018-01-10,0.1526079983856337,0.07748037576675415,0.46751803159713745,0.016613734183878924,G1,2018,1,10,01-10
79,2018-01-08,0.15599083802105526,0.06383992731571198,0.511904776096344,0.01794861539629079,G1,2018,1,8,01-08
80,2018-01-05,0.1566897372878788,0.06394997239112854,0.4805797040462494,0.018124874193704586,G1,2018,1,5,01-05
81,2018-01-03,0.1664109878646181,0.06672866642475128,0.534209668636322,0.019136224203157328,G1,2018,1,3,01-03
82,2017-12-29,0.16260753356340066,0.08331309258937836,0.5290560722351074,0.02013246716676675,G1,2017,12,29,12-29
83,2017-12-26,0.16681234096282294,0.08058454841375351,0.4874022603034973,0.018662782518001086,G1,2017,12,26,12-26
84,2017-12-19,0.135520758721648,0.07434824854135513,0.4323607385158539,0.019663684002284344,G1,2017,12,19,12-19
85,2017-12-16,0.15083163180653092,0.0784313753247261,0.49837133288383484,0.020415619258160093,G1,2017,12,16,12-16
86,2017-12-14,0.15461722714615672,0.051128510385751724,0.5127779841423035,0.02053800516149292,G1,2017,12,14,12-14
87,2017-12-11,0.1503463601927214,0.05104989558458328,0.5122988224029541,0.02262288301843466,G1,2017,12,11,12-11
88,2017-12-09,0.15779220610903774,0.027016669511795044,0.5429176688194275,0.025122779676255817,G1,2017,12,9,12-09
89,2017-12-06,0.1434824562641052,-0.06761565804481506,0.5450463891029358,0.042769700943799845,G1,2017,12,6,12-06
90,2017-11-24,0.16572257839264512,0.027426570653915405,0.5666778683662415,0.024894964055973773,G1,2017,11,24,11-24
91,2017-11-11,0.15397184299661423,0.07371912896633148,0.4941064119338989,0.02312724096782745,G1,2017,11,11,11-11
92,2017-11-09,0.16029731068960218,0.053048647940158844,0.523567795753479,0.02543529164810995,G1,2017,11,9,11-09
93,2017-11-06,0.1633821445036921,-0.054602183401584625,0.49062132835388184,0.035765566556563676,G1,2017,11,6,11-06
94,2017-11-04,0.1585174485044372,0.0816369354724884,0.47953614592552185,0.024361943065366418,G1,2017,11,4,11-04
95,2017-11-01,0.154249000290525,0.06798110157251358,0.5170637369155884,0.030053627583784333,G1,2017,11,1,11-01
96,2017-10-27,0.15275145002057058,0.0626511350274086,0.5350819826126099,0.03294870253872075,G1,2017,10,27,10-27
97,2017-09-25,0.47328173156331416,0.24711062014102936,0.6628537178039551,0.0470305449980483,G1,2017,9,25,09-25
98,2017-09-22,0.5546966370312203,0.2530900537967682,0.7334805727005005,0.05502632134409921,G1,2017,9,22,09-22
99,2017-09-07,0.7497367915286616,0.21929025650024414,0.839332103729248,0.07156865732820154,G1,2017,9,7,09-07
100,2017-09-05,0.7807272602320471,0.10314396023750305,0.8580106496810913,0.07149634924122121,G1,2017,9,5,09-05
101,2017-09-02,0.7688342491151401,0.22430193424224854,0.8416933417320251,0.07108297100769076,G1,2017,9,2,09-02
102,2017-08-31,0.8019197334612187,0.23873640596866608,0.8667977452278137,0.07355031608425532,G1,2017,8,31,08-31
103,2017-08-23,0.7941378709887057,0.17729666829109192,0.8517333269119263,0.06626817324599808,G1,2017,8,23,08-23
104,2017-08-18,0.8115417093612104,0.16435399651527405,0.8647608757019043,0.06898132866783582,G1,2017,8,18,08-18
105,2017-08-16,0.8208130131507175,0.22334495186805725,0.8687157034873962,0.06566882555922289,G1,2017,8,16,08-16
106,2017-08-13,0.821049748168081,0.1625148206949234,0.8760621547698975,0.06647574222346816,G1,2017,8,13,08-13
107,2017-08-11,0.8311083882893839,0.2500889301300049,0.8818475008010864,0.06582092850397173,G1,2017,8,11,08-11
108,2017-08-08,0.8211732198446334,0.24144737422466278,0.8806941509246826,0.06596524775965286,G1,2017,8,8,08-08
109,2017-08-03,0.7362228223699102,0.36513960361480713,0.8163447380065918,0.0548455373911171,G1,2017,8,3,08-03
110,2017-07-29,0.8221999315762347,0.25350233912467957,0.8834547400474548,0.06757051043913807,G1,2017,7,29,07-29
111,2017-07-27,0.8304868777961565,0.20505617558956146,0.880909264087677,0.06450285738743397,G1,2017,7,27,07-27
112,2017-07-24,0.8160102431652477,0.19290603697299957,0.8852592706680298,0.06326216789893079,G1,2017,7,24,07-24
113,2017-07-22,0.8270695390700379,0.18277066946029663,0.8759999871253967,0.06272021488284764,G1,2017,7,22,07-22
114,2017-07-19,0.4222608389123052,0.338030070066452,0.531188428401947,0.03869178264566102,G1,2017,7,19,07-19
115,2017-07-09,0.7815471576994806,0.3105263113975525,0.8365445733070374,0.06267378554090684,G1,2017,7,9,07-09
116,2017-07-07,0.7792910821073539,0.2152414172887802,0.829909086227417,0.05834603395761008,G1,2017,7,7,07-07
117,2017-07-04,0.758974856958855,0.23321667313575745,0.8116680383682251,0.05765735142093407,G1,2017,7,4,07-04
118,2017-07-02,0.7637148288612409,0.12456344813108444,0.8266423344612122,0.06447615053668307,G1,2017,7,2,07-02
119,2017-06-24,0.6679618872585326,0.19677719473838806,0.782319188117981,0.07025141516311063,G1,2017,6,24,06-24
120,2017-06-17,0.5545502209721923,0.020779959857463837,0.7222943305969238,0.06449042443828583,G1,2017,6,17,06-17
121,2017-06-14,0.4651185867496111,0.14917825162410736,0.6731594800949097,0.05491182802549026,G1,2017,6,14,06-14
122,2017-06-04,0.25762938106575184,0.055198486894369125,0.641791045665741,0.032807527963330176,G1,2017,6,4,06-04
123,2017-05-28,0.1783551350345847,-0.006094702519476414,0.5298109650611877,0.03827462533940547,G1,2017,5,28,05-28
124,2017-05-25,0.1758454996482853,0.04576856642961502,0.6175326704978943,0.03443663703117129,G1,2017,5,25,05-25
125,2017-05-15,0.15663192032266166,0.02132021263241768,0.5758389234542847,0.03264711380560115,G1,2017,5,15,05-15
126,2017-05-08,0.1557155896176298,-0.0526772178709507,0.5970350503921509,0.030355908310364065,G1,2017,5,8,05-08
127,2017-05-05,0.15641137794864754,-0.02998102456331253,0.5503769516944885,0.031237031824993548,G1,2017,5,5,05-05
128,2017-04-25,0.1510555630442473,-0.004656360484659672,0.5404364466667175,0.02698428216638374,G1,2017,4,25,04-25
129,2017-04-18,0.14991778883382192,-0.015777910128235817,0.5453359484672546,0.02549598669590221,G1,2017,4,18,04-18
130,2017-04-05,0.1509296985477673,0.03144212067127228,0.5724637508392334,0.029366898373962162,G1,2017,4,5,04-05
131,2017-03-16,0.16034776582145235,0.022447502240538597,0.5414663553237915,0.026470190298741206,G1,2017,3,16,03-16
132,2017-03-06,0.1548679854546044,0.004297994077205658,0.5680863857269287,0.023839040287994526,G1,2017,3,6,03-06
133,2017-02-24,0.15382150155949662,0.01578044518828392,0.513781726360321,0.01839826461315724,G1,2017,2,24,02-24
134,2017-02-17,0.16130648550187712,0.040514010936021805,0.5153623223304749,0.020034836270169228,G1,2017,2,17,02-17
135,2017-02-07,0.15678769891726485,0.025872986763715744,0.5495337843894958,0.022083362090866167,G1,2017,2,7,02-07
136,2017-01-18,0.15909277175467046,0.035619352012872696,0.5389792323112488,0.022955872872269814,G1,2017,1,18,01-18
137,2017-01-15,0.16258766545934444,0.032939713448286057,0.5612115263938904,0.02405692204411028,G1,2017,1,15,01-15
138,2016-12-29,0.14993973158405383,0.051226552575826645,0.5739436745643616,0.023887867031591452,G1,2016,12,29,12-29
139,2016-12-26,0.1480325859782404,0.030186446383595467,0.5738605260848999,0.024704682719824785,G1,2016,12,26,12-26
140,2016-12-19,0.13842434258981975,-0.01364365965127945,0.4732317328453064,0.044504483514514005,G1,2016,12,19,12-19
141,2016-11-26,0.1627596848015805,0.05226590856909752,0.5346411466598511,0.025213919337414386,G1,2016,11,26,11-26
142,2016-11-19,0.15628361696356474,0.10224439203739166,0.49132949113845825,0.024877159421721497,G1,2016,11,19,11-19
143,2016-11-16,0.15442809495852763,0.10550250113010406,0.48318803310394287,0.025849336111930885,G1,2016,11,16,11-16
144,2016-11-06,0.17599895045863098,0.0884324312210083,0.5095583200454712,0.03456090572513247,G1,2016,11,6,11-06
145,2016-10-27,0.26256418907529017,0.15209530293941498,0.5320731401443481,0.06015795906969238,G1,2016,10,27,10-27
146,2016-10-20,0.386840110583609,0.14047999680042267,0.6543276906013489,0.09648168438035157,G1,2016,10,20,10-20
147,2016-10-07,0.6181965180254335,0.25903043150901794,0.755785346031189,0.06382800483400762,G1,2016,10,7,10-07
148,2016-09-27,0.7040796228903635,0.29411765933036804,0.8023312091827393,0.052357452149147055,G1,2016,9,27,09-27
149,2016-09-10,0.7461662237310557,0.1677018702030182,0.827368438243866,0.07478581053648041,G1,2016,9,10,09-10
150,2016-09-07,0.756968890479073,0.34455958008766174,0.8257895708084106,0.05303625796802382,G1,2016,9,7,09-07
151,2016-08-28,0.790330749751624,0.1756950467824936,0.8666142225265503,0.058068661152403465,G1,2016,8,28,08-28
152,2016-08-21,0.7951509906170713,0.21747098863124847,0.8540059328079224,0.060960568310454585,G1,2016,8,21,08-21
153,2016-08-18,0.7805379015786682,0.2066817730665207,0.844679594039917,0.06044274531400715,G1,2016,8,18,08-18
154,2016-08-08,0.7815206955630745,0.2262900024652481,0.8541473150253296,0.0675033894034555,G1,2016,8,8,08-08
155,2016-08-01,0.7693545461251536,0.22248947620391846,0.8623117804527283,0.07566745691083084,G1,2016,8,1,08-01
156,2016-07-29,0.7555446598657427,0.24958263337612152,0.8558170199394226,0.0798370996192693,G1,2016,7,29,07-29
157,2016-07-19,0.7117220917923047,0.1638215035200119,0.8577806949615479,0.09661475134834299,G1,2016,7,19,07-19
158,2016-07-09,0.5765489875990893,0.15583203732967377,0.8372260332107544,0.13788033086757176,G1,2016,7,9,07-09
159,2016-06-29,0.49086949200582414,0.08364124596118927,0.801554799079895,0.14952902002468668,G1,2016,6,29,06-29
160,2016-06-02,0.1710156362205353,-0.12996844947338104,0.43104276061058044,0.06909981175041315,G1,2016,6,2,06-02
161,2016-05-30,0.18721431132685826,-0.002672010799869895,0.5096812844276428,0.040543098309233125,G1,2016,5,30,05-30
162,2016-05-20,0.15979338448654945,0.05399863421916962,0.46965232491493225,0.02390380153266481,G1,2016,5,20,05-20
163,2016-05-13,0.15527385504513247,0.05016949027776718,0.5443298816680908,0.02326011718849557,G1,2016,5,13,05-13
164,2016-04-20,0.15475589394240571,0.058605343103408813,0.4742041826248169,0.023199930969498773,G1,2016,4,20,04-20
165,2016-04-13,0.1597870133678132,-0.005751092918217182,0.5387584567070007,0.022834161741520538,G1,2016,4,13,04-13
166,2016-03-14,0.1664665687919083,0.050089091062545776,0.5420957207679749,0.0235469710352605,G1,2016,3,14,03-14
